Datum,Prokliky,Zobrazení,CTR,Pozice
2025-08-29,0,11,0%,31.7
2025-08-30,0,9,0%,18.8
2025-08-31,0,11,0%,26.8
2025-09-01,1,7,14.29%,13.6
2025-09-02,1,15,6.67%,11.5
2025-09-03,0,7,0%,5.7
2025-09-04,1,3,33.33%,8.3
2025-09-05,1,12,8.33%,25.9
2025-09-06,0,5,0%,22.6
2025-09-07,0,14,0%,38.2
2025-09-08,0,6,0%,24.3
2025-09-09,2,9,22.22%,10.7
2025-09-10,1,10,10%,10.9
2025-09-11,1,12,8.33%,13.8
2025-09-12,0,5,0%,12.6
2025-09-13,0,7,0%,4.4
2025-09-14,1,4,25%,3.5
2025-09-15,0,9,0%,9.7
2025-09-16,0,1,0%,1
2025-09-17,0,10,0%,17.1
2025-09-18,1,9,11.11%,8.6
2025-09-19,0,4,0%,6
2025-09-20,0,14,0%,8.6
2025-09-21,0,3,0%,4
2025-09-22,0,11,0%,3.8
2025-09-23,0,9,0%,6.8
2025-09-24,0,4,0%,13
2025-09-25,0,3,0%,3.3
2025-09-26,0,3,0%,4
2025-09-27,0,5,0%,6.2
2025-09-28,1,8,12.5%,7.1
2025-09-29,0,6,0%,4.8
2025-09-30,2,5,40%,3.8
2025-10-01,1,6,16.67%,6.2
2025-10-02,2,10,20%,6.6
2025-10-03,0,5,0%,9.2
2025-10-04,0,3,0%,4.3
2025-10-05,0,12,0%,5.7
2025-10-06,0,5,0%,21
2025-10-07,1,4,25%,4.8
2025-10-08,0,5,0%,3.4
2025-10-09,2,5,40%,5.2
2025-10-10,0,3,0%,7.3
2025-10-11,1,4,25%,5.2
2025-10-12,0,5,0%,4.6
2025-10-13,0,8,0%,23.4
2025-10-14,0,11,0%,6.2
2025-10-15,0,3,0%,4
2025-10-16,0,5,0%,4.6
2025-10-17,0,2,0%,4.5
2025-10-18,0,14,0%,3.7
2025-10-19,0,4,0%,10.2
2025-10-20,0,3,0%,54.3
2025-10-21,1,8,12.5%,5.5
2025-10-22,0,9,0%,3
2025-10-23,0,10,0%,4
2025-10-24,0,2,0%,4
2025-10-25,2,8,25%,1.8
2025-10-26,0,4,0%,5.5
2025-10-27,0,6,0%,9.8
2025-10-28,0,6,0%,7
2025-10-29,0,2,0%,2.5
2025-10-30,0,6,0%,9.8
2025-10-31,0,1,0%,13
2025-11-01,0,2,0%,11.5
2025-11-02,0,2,0%,6
2025-11-03,0,2,0%,4.5
2025-11-04,0,3,0%,6.7
2025-11-05,0,6,0%,8.7
2025-11-06,0,5,0%,5
2025-11-07,0,0,,
2025-11-08,0,3,0%,9.7
2025-11-09,0,0,,
2025-11-10,0,0,,
2025-11-11,0,2,0%,8
2025-11-12,0,0,,
2025-11-13,0,0,,
2025-11-14,0,1,0%,1
2025-11-15,0,2,0%,6.5
2025-11-16,0,1,0%,8
2025-11-17,0,4,0%,7.2
2025-11-18,0,0,,
2025-11-19,0,1,0%,10
2025-11-20,2,3,66.67%,7.3
2025-11-21,0,1,0%,7
2025-11-22,0,1,0%,3
2025-11-23,0,1,0%,11
2025-11-24,0,6,0%,7
2025-11-25,0,2,0%,7.5
2025-11-26,0,1,0%,3
2025-11-27,0,1,0%,10
2025-11-28,0,3,0%,4.3
2025-11-29,0,1,0%,6
2025-11-30,0,1,0%,8
2025-12-01,0,1,0%,4
2025-12-02,0,1,0%,8
2025-12-03,0,1,0%,52
2025-12-04,1,2,50%,9
2025-12-05,0,2,0%,4
2025-12-06,0,3,0%,7.3
2025-12-07,0,1,0%,3
2025-12-08,0,0,,
2025-12-09,0,0,,
2025-12-10,0,0,,
2025-12-11,0,1,0%,11
2025-12-12,0,1,0%,4
2025-12-13,0,0,,
2025-12-14,0,0,,
2025-12-15,0,2,0%,11
2025-12-16,0,3,0%,7.3
2025-12-17,0,0,,
2025-12-18,0,1,0%,11
2025-12-19,0,2,0%,10.5
2025-12-20,0,2,0%,1
2025-12-21,0,1,0%,8
2025-12-22,0,1,0%,10
2025-12-23,0,2,0%,14
2025-12-24,0,2,0%,13
2025-12-25,0,2,0%,4.5
2025-12-26,0,4,0%,8.8
2025-12-27,0,1,0%,13
2025-12-28,0,1,0%,1
2025-12-29,0,0,,
2025-12-30,0,0,,
2025-12-31,0,1,0%,13
2026-01-01,0,1,0%,4
2026-01-02,0,5,0%,12.8
2026-01-03,1,9,11.11%,7.1
2026-01-04,2,13,15.38%,11.8
2026-01-05,4,13,30.77%,3.8
2026-01-06,2,20,10%,9.7
2026-01-07,2,13,15.38%,11.2
2026-01-08,0,8,0%,5.6
2026-01-09,0,9,0%,8.3
2026-01-10,1,11,9.09%,20.3
2026-01-11,0,4,0%,10
2026-01-12,0,6,0%,7.8
2026-01-13,1,4,25%,3.8
2026-01-14,1,4,25%,9
2026-01-15,0,4,0%,8.5
2026-01-16,1,4,25%,10.8
2026-01-17,0,2,0%,7.5
2026-01-18,0,2,0%,13
2026-01-19,0,7,0%,9.6
2026-01-20,1,12,8.33%,9.9
2026-01-21,0,10,0%,11.2
2026-01-22,0,2,0%,8.5
2026-01-23,2,4,50%,8.2
2026-01-24,0,4,0%,13.2
2026-01-25,0,5,0%,7.6
2026-01-26,0,11,0%,4.3
2026-01-27,0,9,0%,9.6
2026-01-28,0,4,0%,11.2
2026-01-29,0,7,0%,6.4
2026-01-30,1,4,25%,6
2026-01-31,0,5,0%,11
2026-02-01,0,3,0%,3.3
2026-02-02,0,8,0%,12.9
2026-02-03,0,4,0%,6
2026-02-04,1,6,16.67%,8.5
2026-02-05,0,10,0%,5.9
2026-02-06,0,2,0%,10.5
2026-02-07,0,2,0%,5
2026-02-08,0,3,0%,6.3
2026-02-09,0,4,0%,5.2
2026-02-10,0,5,0%,5.6
2026-02-11,0,4,0%,6.2
2026-02-12,0,4,0%,11.5
2026-02-13,0,3,0%,33.3
2026-02-14,0,0,,
2026-02-15,0,2,0%,4.5
2026-02-16,1,4,25%,25.2
2026-02-17,0,1,0%,7
2026-02-18,0,11,0%,7.8
2026-02-19,0,3,0%,8.7
2026-02-20,0,4,0%,9.5
2026-02-21,0,1,0%,21
2026-02-22,0,2,0%,6.5
2026-02-23,0,1,0%,1
2026-02-24,0,4,0%,7.5
2026-02-25,0,5,0%,6.4
2026-02-26,0,4,0%,11
2026-02-27,0,4,0%,1.5
2026-02-28,0,1,0%,9
